veg_class,year,sensor,index,SOS,EOS,PEAK,PEAK_VAL,AUC,SEASON_LEN
Beakrush,2024,S2,NDRE,2.0,10.0,7.0,0.24480787620079034,1.019579498408396,8.0
Beakrush,2025,S2,NDVI,5.0,12.0,10.0,0.44593747256354876,4.098261397802897,7.0
Beakrush,2025,S2,EVI,2.0,12.0,6.0,0.14184585284461815,1.4232686818589129,10.0
Beakrush,2025,S2,NDWI,1.0,10.0,5.0,-0.3867218577789241,-5.066278640059708,9.0
Beakrush,2025,S2,MNDWI,1.0,10.0,1.0,-0.49409958411271754,-6.36415262949055,9.0
Beakrush,2025,S2,NDRE,5.0,12.0,12.0,0.273736456512674,2.4295645203789875,7.0
Broadleaf Marsh,2023,S2,NDVI,6.0,12.0,10.0,0.6726042389625171,6.3290078848765265,6.0
Broadleaf Marsh,2023,S2,EVI,2.0,11.0,5.0,0.2555846403648563,2.1563375208504367,9.0
Broadleaf Marsh,2023,S2,NDWI,1.0,11.0,6.0,-0.5103896019281202,-6.1767263167370965,10.0
Broadleaf Marsh,2023,S2,MNDWI,2.0,12.0,8.0,-0.25255433811830547,-3.7811519103539415,10.0
Broadleaf Marsh,2023,S2,NDRE,1.0,5.0,1.0,0.3455671775303485,3.3362554804352555,4.0
Broadleaf Marsh,2024,S2,NDVI,3.0,12.0,12.0,0.6835822518402137,6.08172093404,9.0
Broadleaf Marsh,2024,S2,EVI,2.0,12.0,6.0,0.28086072851576005,2.336639005544898,10.0
Broadleaf Marsh,2024,S2,NDWI,1.0,5.0,1.0,-0.3838529201420643,-6.113569606976209,4.0
Broadleaf Marsh,2024,S2,MNDWI,1.0,5.0,1.0,-0.1617316475841237,-4.396270049836031,4.0
Broadleaf Marsh,2024,S2,NDRE,3.0,12.0,12.0,0.3811284860189318,3.451044196364589,9.0
Broadleaf Marsh,2025,S2,NDVI,4.0,12.0,8.0,0.605523620464996,5.610255370514045,8.0
Broadleaf Marsh,2025,S2,EVI,2.0,12.0,7.0,0.2762222147338728,2.719056896733226,10.0
Broadleaf Marsh,2025,S2,NDWI,1.0,9.0,5.0,-0.5139152899926787,-6.1269111711417175,8.0
Broadleaf Marsh,2025,S2,MNDWI,3.0,12.0,8.0,-0.3094550974589821,-5.0495283324655125,9.0
Broadleaf Marsh,2025,S2,NDRE,4.0,12.0,8.0,0.33704530558199486,3.3437180079016726,8.0
Bulrush,2023,S2,NDVI,8.0,12.0,12.0,0.4100168017520984,2.912155676256309,4.0
Bulrush,2023,S2,EVI,1.0,8.0,4.0,0.08678101348783063,0.6741958044557831,7.0
Bulrush,2023,S2,NDWI,3.0,11.0,8.0,-0.12571656983743557,-2.3887465649612456,8.0
Bulrush,2023,S2,MNDWI,1.0,6.0,1.0,0.2081512856740846,0.37398495320028746,5.0
Bulrush,2023,S2,NDRE,9.0,12.0,12.0,0.17130591469660367,0.6218276945599467,3.0
Bulrush,2024,S2,NDVI,2.0,10.0,5.0,0.40648223486840074,3.7147270363537084,8.0
Bulrush,2024,S2,EVI,1.0,10.0,6.0,0.1481428347988339,0.9821561182446649,9.0
Bulrush,2024,S2,NDWI,1.0,5.0,1.0,-0.22972362439147623,-3.3044804189699613,4.0
Bulrush,2024,S2,MNDWI,1.0,5.0,1.0,0.06433296952334643,-0.34803623113072335,4.0
Bulrush,2024,S2,NDRE,1.0,9.0,5.0,0.18261938440544778,1.2830626455539342,8.0
Bulrush,2025,S2,NDVI,9.0,12.0,12.0,0.47086495585487786,4.260048642397734,3.0
Bulrush,2025,S2,EVI,1.0,9.0,5.0,0.16772665227495576,1.2710104854819788,8.0
Bulrush,2025,S2,NDWI,1.0,10.0,7.0,-0.3476124215637257,-4.070431205255703,9.0
Bulrush,2025,S2,MNDWI,1.0,7.0,1.0,0.027473384717841522,-1.489566214917493,6.0
Bulrush,2025,S2,NDRE,9.0,12.0,12.0,0.20406666496897127,1.7988000654393637,3.0
Cattail,2023,S2,NDVI,9.0,12.0,12.0,0.5531547343561222,5.688912956135727,3.0
Cattail,2023,S2,EVI,1.0,9.0,4.0,0.33241445647726775,3.0907887458912544,8.0
Cattail,2023,S2,NDWI,2.0,11.0,8.0,-0.5530420704658485,-6.410426553055125,9.0
Cattail,2023,S2,MNDWI,1.0,10.0,4.0,-0.4938502457419545,-5.638014700460655,9.0
Cattail,2023,S2,NDRE,9.0,12.0,12.0,0.38936702000138584,3.686601273012075,3.0
Cattail,2024,S2,NDVI,10.0,12.0,12.0,0.5054071079395048,5.274924102922485,2.0
Cattail,2024,S2,EVI,1.0,9.0,5.0,0.3002835658890767,3.0540073200874858,8.0
Cattail,2024,S2,NDWI,2.0,12.0,8.0,-0.5326378986908693,-6.1918983663963605,10.0
Cattail,2024,S2,MNDWI,1.0,10.0,1.0,-0.49637070165801883,-5.704888996429202,9.0
Cattail,2024,S2,NDRE,1.0,8.0,1.0,0.34838237212440315,3.455790435673891,7.0
Cattail,2025,S2,NDVI,4.0,12.0,8.0,0.5442775586797592,5.280946286622033,8.0
Cattail,2025,S2,EVI,3.0,11.0,7.0,0.31239659277012816,2.926368760043494,8.0
Cattail,2025,S2,NDWI,1.0,8.0,4.0,-0.505607909598691,-6.07554103390859,7.0
Cattail,2025,S2,MNDWI,1.0,10.0,5.0,-0.5103014546390747,-5.862186985290534,9.0
Cattail,2025,S2,NDRE,1.0,3.0,1.0,0.3500300317882059,3.3796107668777853,2.0
Floating Leaf Marsh,2023,S2,NDVI,7.0,12.0,12.0,0.8485709361345937,7.8290668024491765,5.0
Floating Leaf Marsh,2023,S2,EVI,2.0,12.0,8.0,0.5630327329521603,5.568066011332564,10.0
Floating Leaf Marsh,2023,S2,NDWI,1.0,11.0,6.0,-0.44370929391128033,-5.77790328449476,10.0
Floating Leaf Marsh,2023,S2,MNDWI,1.0,11.0,6.0,-0.1796309563173087,-2.312572710494465,10.0
Floating Leaf Marsh,2023,S2,NDRE,7.0,12.0,12.0,0.45039355072915577,3.8643848904148217,5.0
Floating Leaf Marsh,2024,S2,NDVI,7.0,12.0,12.0,0.830947704016133,7.904490755786355,5.0
Floating Leaf Marsh,2024,S2,EVI,3.0,12.0,10.0,0.5417324450676272,5.248356686437093,9.0
Floating Leaf Marsh,2024,S2,NDWI,1.0,11.0,6.0,-0.4817579923831367,-5.950066150777548,10.0
Floating Leaf Marsh,2024,S2,MNDWI,1.0,11.0,4.0,-0.1857723117731801,-2.462075568926989,10.0
Floating Leaf Marsh,2024,S2,NDRE,1.0,5.0,1.0,0.41475769605490426,3.942100647237978,4.0
Floating Leaf Marsh,2025,S2,NDVI,1.0,4.0,1.0,0.8427066137675905,7.542709081684714,3.0
Floating Leaf Marsh,2025,S2,EVI,5.0,12.0,9.0,0.501885537858102,4.514016526818199,7.0
Floating Leaf Marsh,2025,S2,NDWI,1.0,11.0,5.0,-0.518116849656271,-6.25667672141141,10.0
Floating Leaf Marsh,2025,S2,MNDWI,1.0,4.0,1.0,-0.21678548286563662,-3.5700675606517294,3.0
Floating Leaf Marsh,2025,S2,NDRE,1.0,4.0,1.0,0.4033717901747255,3.8460287202922148,3.0
Low Growing Emergent Marsh,2023,S2,NDVI,6.0,12.0,10.0,0.8772372296469751,9.532708689767631,6.0
Low Growing Emergent Marsh,2023,S2,EVI,5.0,12.0,8.0,0.7919460227149653,8.37990516455757,7.0
Low Growing Emergent Marsh,2023,S2,NDWI,1.0,11.0,6.0,-0.7066598729771971,-8.050744683589368,10.0
Low Growing Emergent Marsh,2023,S2,MNDWI,1.0,10.0,4.0,-0.37139001340271505,-4.478178925876182,9.0
Low Growing Emergent Marsh,2023,S2,NDRE,6.0,12.0,11.0,0.5920258396701699,6.199417621475415,6.0
Low Growing Emergent Marsh,2024,S2,NDVI,5.0,12.0,8.0,0.8783725036613808,9.533213968089873,7.0
Low Growing Emergent Marsh,2024,S2,EVI,1.0,11.0,7.0,0.8406882754772302,8.564827456936216,10.0
Low Growing Emergent Marsh,2024,S2,NDWI,1.0,11.0,5.0,-0.7160719941642377,-8.09583827200258,10.0
Low Growing Emergent Marsh,2024,S2,MNDWI,1.0,10.0,4.0,-0.3819808065190071,-4.603857191247635,9.0
Low Growing Emergent Marsh,2024,S2,NDRE,5.0,12.0,9.0,0.59050137883916,6.263009184585981,7.0
Low Growing Emergent Marsh,2025,S2,NDVI,1.0,5.0,1.0,0.8482329916490452,8.802845779860602,4.0
Low Growing Emergent Marsh,2025,S2,EVI,1.0,10.0,7.0,0.7111977130535884,7.153490734481597,9.0
Low Growing Emergent Marsh,2025,S2,NDWI,2.0,9.0,5.0,-0.6662392740066185,-7.625666672172687,7.0
Low Growing Emergent Marsh,2025,S2,MNDWI,1.0,10.0,4.0,-0.3926332184732283,-4.809936196912018,9.0
Low Growing Emergent Marsh,2025,S2,NDRE,1.0,4.0,1.0,0.5363218576752333,5.294439622792011,3.0
Maidencane Egyptian Paspalidium,2023,S2,NDVI,6.0,12.0,10.0,0.3164502990655307,2.9631452310218895,6.0
Maidencane Egyptian Paspalidium,2023,S2,EVI,1.0,11.0,4.0,0.07311540734292404,0.6473957982572689,10.0
Maidencane Egyptian Paspalidium,2023,S2,NDWI,2.0,11.0,8.0,-0.1596030880379162,-2.148267894463595,9.0
Maidencane Egyptian Paspalidium,2023,S2,MNDWI,1.0,6.0,1.0,0.1507579469345064,0.3423581995581872,5.0
Maidencane Egyptian Paspalidium,2023,S2,NDRE,1.0,6.0,3.0,0.07216120124013015,0.6419569180395909,5.0
Maidencane Egyptian Paspalidium,2024,S2,NDVI,2.0,12.0,7.0,0.35561574451842487,2.929338952143907,10.0
Maidencane Egyptian Paspalidium,2024,S2,EVI,2.0,12.0,7.0,0.10413279415904803,0.7102416502904823,10.0
Maidencane Egyptian Paspalidium,2024,S2,NDWI,1.0,5.0,1.0,-0.1202394420323655,-2.2333217096932256,4.0
Maidencane Egyptian Paspalidium,2024,S2,MNDWI,8.0,12.0,12.0,0.1481248610407704,0.5094013151480007,4.0
Maidencane Egyptian Paspalidium,2024,S2,NDRE,2.0,12.0,6.0,0.10637057981265936,0.5912257042835717,10.0
Maidencane Egyptian Paspalidium,2025,S2,NDVI,2.0,12.0,6.0,0.3065665395037427,2.7994637234195774,10.0
Maidencane Egyptian Paspalidium,2025,S2,EVI,1.0,11.0,6.0,0.12784606050806438,0.8683365001406692,10.0
Maidencane Egyptian Paspalidium,2025,S2,NDWI,7.0,12.0,11.0,-0.18274677898236058,-2.3376108209983877,5.0
Maidencane Egyptian Paspalidium,2025,S2,MNDWI,1.0,6.0,1.0,0.15984679448361308,-0.11638801071226357,5.0
