veg_class,year,month,CR,EVI,MNDWI,NDRE,NDVI,NDWI,RVI,VH,VV,composite_productivity,sar_productivity,composite_productivity_norm,sar_productivity_norm
Broadleaf Marsh,2024,10,-8.436183775321648,0.19959868958958965,-0.36508292284914245,0.3619137238088713,0.6579901335087417,-0.5824165873510435,0.5833586792013724,-14.074640211634765,-5.638456444405974,0.4065008489690675,-6.8914804380402535,0.5356745100644711,0.9031313578058159
Broadleaf Marsh,2024,11,-9.129359402858668,0.18667461714623662,-0.410381271554747,0.3721866183101582,0.6760671481814926,-0.6158912841857853,0.5053098571677823,-14.412622956970928,-5.283263568875644,0.4116427945459624,-7.079984017884365,0.5422848989039039,0.8843205737755694
Broadleaf Marsh,2024,12,-9.704273068942015,0.178047115962067,-0.4865112774634175,0.3811284860189318,0.6835822518402137,-0.6603281971264905,0.44590766840021434,-14.826824708074069,-5.122551661631865,0.4142526179404042,-7.301935442561934,0.5456400389343681,0.8621720272160397
Broadleaf Marsh,2025,1,-6.069757962090178,0.20188366553768392,-0.5198200450970576,0.32555074784789456,0.5473506710952062,-0.6356168887459555,0.8781826157821725,-13.222258560896316,-7.152500593356577,0.3582616948269282,-6.391583625140225,0.4736591578215875,0.9530160920514338
Broadleaf Marsh,2025,2,-5.5875460650576745,0.21980925862206907,-0.5616946773674996,0.2940090321883433,0.4738586969936622,-0.5785703204091962,0.9472049436519516,-13.705827478509478,-8.118281414198838,0.32922566260135816,-6.616112503528511,0.43633097912055463,0.9306103412248002
Broadleaf Marsh,2025,3,-5.2597678655596996,0.2354848648203227,-0.5730392411285463,0.27654015257264886,0.4323131382759862,-0.5385596632135652,0.9931490365123486,-14.03157813592625,-8.771810275310672,0.31477938522298593,-6.767501810071068,0.41775911574213875,0.9155031928501335
Broadleaf Marsh,2025,4,-5.086423363596252,0.24891048413244474,-0.5538537363801975,0.2731441090008111,0.42271399494217815,-0.5155849171590623,1.0160148943633636,-14.199510533146626,-9.11308717669208,0.3149228626918113,-6.845751544767898,0.4179435676863396,0.907694646927433
Broadleaf Marsh,2025,5,-5.287014193333566,0.25938183925781055,-0.5004015184970164,0.29416004338182633,0.4585281077521444,-0.5139152899926787,0.9823318884657013,-14.377720120729963,-9.0907059357095,0.3373566634639271,-6.9432770903268315,0.44678404140049455,0.8979625666324158
Broadleaf Marsh,2025,6,-5.492107676162458,0.27341857154943816,-0.42743977318190035,0.3154503440330292,0.5102916008935265,-0.5272223649021404,0.9493224417759987,-14.216778028177965,-8.7246703577981,0.3663868388253313,-6.871058405090631,0.4841046906267523,0.9051692737519833
Broadleaf Marsh,2025,7,-5.769623494095653,0.2762222147338728,-0.3383689130317003,0.329101084990664,0.5647966401882225,-0.5453249755301792,0.906243363121013,-13.731592904588327,-7.961969415752137,0.39003997997091977,-6.6392356128287755,0.5145127254665038,0.928302884700554
Broadleaf Marsh,2025,8,-6.13729793614879,0.2756972482415594,-0.3094550974589821,0.33704530558199486,0.605523620464996,-0.5708399748322569,0.8550467409322652,-13.761007951626167,-7.623710012997471,0.40608872476285,-6.666742289960041,0.5351446909109037,0.9255579916681042
Broadleaf Marsh,2025,9,-5.988844148444692,0.2680477714257895,-0.35739837052729645,0.33044207018715843,0.6038703372350751,-0.5925884690393548,0.8806567980231086,-13.717030199584793,-7.728186050516436,0.40078672628267437,-6.638350900130703,0.528328541059468,0.9283911702360649
Broadleaf Marsh,2025,10,-5.926170091408288,0.2497507925229312,-0.40573136880155847,0.31452145589751196,0.567637692681499,-0.5889337797257556,0.8891024971225869,-13.66276886432545,-7.736598771820868,0.3773033137006474,-6.6091088076080045,0.49813870607919025,0.9313092404790378
Broadleaf Marsh,2025,11,-5.815147482123568,0.2207977286918591,-0.47685339259239057,0.2892360739585703,0.498627030377545,-0.5698677628134023,0.9026748890210501,-13.547277573617324,-7.732130089817423,0.3362202776759915,-6.547970064134316,0.4453231251349444,0.93741027951668
Broadleaf Marsh,2025,12,-5.655776320590535,0.18118857993257337,-0.5707644418997928,0.2545859243703333,0.39683835032321313,-0.5353904183022948,0.9213739737184983,-13.370556327460418,-7.714780004506097,0.2775376182087066,-6.454934669709639,0.3698817982267303,0.9466942873489911
Bulrush,2023,1,-11.780736620367179,0.03522728900806302,0.2081512856740846,0.03223154844503987,0.22682094178971954,-0.23234896321223605,0.3311032193313048,-20.41674429183642,-8.636007697518135,0.09809325974760748,-10.125596347597607,0.13919149496865135,0.5803987287821202
Bulrush,2023,2,-9.478849884530081,0.06231065140481165,0.13600482528605315,0.0803485320295885,0.271858456075713,-0.2546842834480588,0.5102049543570496,-19.760558860427267,-10.281708985978831,0.13817254650337105,-9.752728194144783,0.19071667466973946,0.617607265151341
Bulrush,2023,3,-8.244558953767541,0.07949522623140085,0.07727276147682419,0.10491239338933267,0.29292991379978767,-0.2587121573501622,0.607636909422287,-19.29627151516137,-11.051712560232101,0.15911251114017375,-9.496226529934681,0.21763670065275012,0.6432035822761684
Bulrush,2023,4,-8.07786382807955,0.08678101348783063,0.031955094246397656,0.10592313252427242,0.29003531496194357,-0.24443258491854603,0.6233990845270172,-19.023882256038718,-10.946018420277948,0.16091315365801553,-9.3560913549673,0.21995157291768322,0.6571876801566023
Bulrush,2023,5,-9.462582630491292,0.08355168010595898,-0.009480766235480241,0.07207773312960863,0.25306524646920026,-0.2052447282226143,0.5200538260980342,-18.982312162869036,-9.51972952137699,0.13623155323492261,-9.361142622159822,0.188221370110932,0.6566836138873242
Bulrush,2023,6,-10.938181032052132,0.07039013333896449,-0.031330122755785936,0.027394948623976866,0.20489513450781693,-0.15773705461547455,0.3951418859335579,-19.0523969383299,-8.11421589787978,0.10089340549025276,-9.427412995582063,0.14279130984206068,0.65007048917595
Bulrush,2023,7,-11.444103137494434,0.056727918539749254,-0.018770794160035156,-0.0019763159629230063,0.18756482009831354,-0.12843136085964146,0.350258993328731,-19.06105621065862,-7.61695307047088,0.08077214089171326,-9.442963356323801,0.11692378928036304,0.6485187177043038
Bulrush,2023,8,-12.453249109621712,0.04581823504483172,0.025979379871780214,-0.01503099048911541,0.1989705781671809,-0.12571656983743557,0.2928303146143473,-19.466826499997985,-7.0135773958856396,0.0765859409076324,-9.660205672722746,0.11154208905802959,0.6268400933546203
Bulrush,2023,9,-12.394164286505873,0.04484812136708172,0.033365943433554555,0.0062885714921969,0.2509312343939093,-0.16853930971319037,0.3053149434578037,-20.314782916153277,-7.92061863968092,0.10068930908439598,-10.081062724720567,0.14252892732881386,0.5848427417961819
Bulrush,2023,10,-11.757013944482265,0.04607535237364404,0.0276716369219591,0.04255758859202585,0.29522879177940264,-0.224776359202851,0.3516828504374944,-20.171734218519507,-8.41472028143327,0.12795391091502417,-9.997946398499387,0.1775797883224845,0.5931369251916756
Bulrush,2023,11,-10.597416616884527,0.0509091183737613,0.0088263343776556,0.09756336966016144,0.34825731423213235,-0.3028770236539339,0.4309143742226169,-19.57110191712264,-8.973685301633989,0.16557660075535172,-9.677822365354634,0.22594681308203596,0.6250821224943335
Bulrush,2023,12,-8.915372303712658,0.05934941936743352,-0.023169964199355998,0.17130591469660367,0.4100168017520984,-0.40284130306643906,0.5430095148131713,-18.51288601196267,-9.597513700283077,0.21355737860537852,-9.120690625286308,0.2876300016074681,0.6806783337041559
Bulrush,2024,1,-11.368973115019584,0.0158763287354029,0.06433296952334643,0.03904892263460953,0.23825271653756097,-0.22972362439147623,0.3850614399353392,-18.814438295916855,-7.445465187160211,0.09772598930252446,-9.310953789540328,0.13871933896954092,0.6616919606355198
Bulrush,2024,2,-9.997394100655404,0.05739678306429516,0.04604609719219446,0.09431148430551456,0.29521178630000716,-0.2636959460810371,0.4807511354238982,-18.91394664733472,-8.916552551159922,0.1489733512232723,-9.336785540931537,0.20460198673880325,0.6591142085474964
