veg_class,year,month,CR,EVI,MNDWI,NDRE,NDVI,NDWI,RVI,VH,VV,composite_productivity,sar_productivity,composite_productivity_norm,sar_productivity_norm,stage_ft,stage_count,precip_mm,tmax_c,soil_moisture_mm,pet_mm,pdsi,stage_missing,climate_missing
Shrub Swamp,2025,4,-5.704608082353312,0.526655905595732,-0.5103755822284025,0.5042232086242906,0.779266742330843,-0.6902921211876798,0.9169936550577702,-15.349591497760638,-9.644983425895742,0.6033819521836219,-7.445547337737981,0.7887811654971453,0.8478409872083905,11.962333333333333,30,,,,,,False,True
Shrub Swamp,2025,5,-5.546464075668494,0.5494705756235199,-0.5033395182258027,0.5216446040488422,0.8004965393864065,-0.7073385615820137,0.9471703288714188,-15.262408173716915,-9.715944109272298,0.6238705730195896,-7.394411507446573,0.815120952350984,0.8529438349135349,11.063870967741936,31,,,,,,False,True
Shrub Swamp,2025,6,-5.361772270858397,0.534303124049949,-0.514688427057317,0.5169889112764633,0.8025888478084918,-0.7122559213651612,0.9786507387693538,-14.844858161621568,-9.483085899935553,0.6179602943783014,-7.17776639841154,0.8075228089276336,0.8745628639029971,11.089333333333334,30,,,,,,False,True
Shrub Swamp,2025,7,-5.182124574524771,0.4946937724246256,-0.5237446112421502,0.5057369299543977,0.7938016661827245,-0.7020802110758806,1.0043717903485956,-14.549378904507574,-9.367254333103189,0.5980774561872493,-7.023596505446734,0.7819618048857069,0.8899474871707649,11.732903225806453,31,,,,,,False,True
Shrub Swamp,2025,8,-4.984982801095393,0.4629205702609095,-0.5445114930831603,0.4977059184775779,0.8036910741145622,-0.7102478200965073,1.0302154796406269,-14.243869674540996,-9.258886875653353,0.5881058542843499,-6.864380967912279,0.7691425004134106,0.9058356156259222,12.226451612903226,31,,,,,,False,True
Shrub Swamp,2025,9,-4.907816456594645,0.4422100421382881,-0.5529081837762939,0.5016689386545814,0.7989537271807174,-0.7096394144523663,1.0366097943610404,-14.32490345880906,-9.417086999264397,0.5809442359911957,-6.903299280076766,0.7599356581920403,0.9019519548193036,13.061333333333332,30,,,,,,False,True
Shrub Swamp,2025,10,-4.984547132710602,0.4200564938126447,-0.5652069417589215,0.4974986055974656,0.7909206221762922,-0.7093327035454806,1.02263255499753,-14.59744607224784,-9.61289893679226,0.5694919071954675,-7.043064896688293,0.7452127589849833,0.8880047351903294,13.84032258064516,31,,,,,,False,True
Shrub Swamp,2025,11,-5.164092455517575,0.3983519000961291,-0.5803778487088438,0.4921283783674801,0.7799321479412828,-0.7101006948189944,0.9943069033712256,-15.058614735413684,-9.894522280113549,0.556804142134964,-7.280730641918396,0.728901606076215,0.8642880555993727,13.808333333333334,30,,,,,,False,True
Shrub Swamp,2025,12,-5.446452425015563,0.3770962609887416,-0.5984209046260607,0.485558256964625,0.7659883044756892,-0.7119433882729076,0.9516328394821282,-15.708409448306597,-10.261957029228268,0.5428809408096853,-7.6162965157670754,0.7110021994657357,0.8308019160464336,13.55258064516129,31,,,,,,False,True
Spikerush,2023,1,-12.66120742665643,-0.0096140982310894,-0.105975821765722,0.0349367878902715,0.3227693805597682,-0.3411248555748761,0.2381258513008264,-27.01920715420123,-14.357999731192551,0.1160306900729834,-13.450072115187346,0.1622515191283337,0.2486490838701499,16.19483870967742,31,10.848722986247544,25.67826187449439,53.12470819369005,84.91179937593895,4.683874956662428,False,False
